Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
Argute,Futzzin,"ID 1382927570",," Unequivocally correct.","Fri Apr 26 21:34:39 +0000 2013",26,251,387,11180,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1569820071169609733/vIq44OZI_normal.jpg
ꜱʜᴀᴍᴘᴏᴏ,truecelpro,"ID 1621036287527636994",," ","Thu Feb 02 06:42:32 +0000 2023",35,57,11,36,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1621288095281971200/ImRv-zCZ_normal.jpg
"community Rad IQ 93 5'2""",tuxendi,"ID 2583318827","The community "," 'life is very long '. T.S. Eliot","Wed Jun 04 23:51:43 +0000 2014",132,2727,789,6888,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1521701829515440129/8H2sS0Qp_normal.jpg
"Hakurei und die Cunnyfrage",childrapetwt,"ID 1621326920125128704",," ","Fri Feb 03 01:57:19 +0000 2023",75,272,79,266,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621328549108916232/IJaWtJy7_normal.jpg
whitemonster🌲🦅,orcfinisher,"ID 1430186682675077120",," Do it for Dale","Tue Aug 24 15:14:26 +0000 2021",47,219,291,8140,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1547965627897245697/BNoERJc5_normal.jpg
"Oriental Observer",Explore0rient,"ID 1618626273156427776",," ","Thu Jan 26 15:06:06 +0000 2023",0,20,1,25,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1618626599670128641/vO23uTFL_normal.jpg
Veil,CroneKilla,"ID 1530706702064132097","North Region, Singapore"," ❤️❤️❤️","Sun May 29 00:25:29 +0000 2022",33,811,762,21447,https://www.heavensgate.com/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1590580689195483137/Fsm_8KuC_normal.jpg
"punished lucha",PunishedLucha,"ID 1060996666839482368",," mother of a beautiful pitbaby #dogecoinarmy","Fri Nov 09 20:44:52 +0000 2018",49,293,5302,19943,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1173255459932913664/gJ_BOCht_normal.jpg
𓆏,aspenbvsed,"ID 1348005693991825408","Shadow Hill"," ","Sat Jan 09 20:36:35 +0000 2021",180,1323,1137,15978,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1604723101551534080/Nnk0eG1Z_normal.jpg
"lindymaxxer (legacy american)",lindymaxxer,"ID 1609570804068409346",," it’s called we do a little lindymaxxing 🌞🌲","Sun Jan 01 15:22:50 +0000 2023",11,236,14,220,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609571548616163328/HfBQtoYt_normal.jpg
Specto,Pepe_Cheers,"ID 1610787521176150016",," ","Wed Jan 04 23:57:32 +0000 2023",150,127,77,399,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621592955239960576/YnNZkr9q_normal.jpg
"Bandito Blanco",CuteMisogynist1,"ID 1360813210912325634","Hyperborea "," Professor of Women’s Studies at Johann Von Leers School of International Relations","Sun Feb 14 04:48:58 +0000 2021",64,144,4524,1316,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621320108604809218/DufW13sg_normal.jpg
"LeDoux Fan",Country_Chris76,"ID 1620767593631039489",," Twitter's Biggest Country Fan","Wed Feb 01 12:54:49 +0000 2023",26,61,11,64,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621281284029911040/FfU97qjo_normal.jpg
"Thomas Olsen PhD",ThomasOlsenMD,"ID 1402553255343706115",," aguy","Wed Jun 09 09:08:56 +0000 2021",64,228,209,4689,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1509068105829732352/KtvgSDbu_normal.jpg
"Rare Franklin",franklin2099_,"ID 1590081414288101383",," ","Tue Nov 08 20:38:59 +0000 2022",56,148,0,6016,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1590081469954793474/7WICkBBU_normal.png
;),m__brz,"ID 1510729290731724800",," ","Sun Apr 03 21:22:06 +0000 2022",3,88,3,182,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1510729874322997249/l2yQESNW_normal.jpg
"jim buckwick",JBuckwick,"ID 1517629969396125699",," ","Fri Apr 22 22:23:19 +0000 2022",0,84,0,0,,,Disabled,"Not verified",,Protected,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"Kairos Dux",KairosDux,"ID 1608659436842754049",," SAVED BY FAITH ALONE!!! 😎 AMEN!!!","Fri Dec 30 03:01:21 +0000 2022",5,57,7,13,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1613262485850578944/xTZn3T5s_normal.jpg
Delarge,EffortPoster,"ID 1019768016907784192",," ","Thu Jul 19 02:16:56 +0000 2018",53,130,557,717,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1019771661455904769/XIMLQGdL_normal.jpg
